"schedule_id","section_course_id","day","start_time","end_time","faculty_id","room_id","is_published","created_at","updated_at"
"308","413",NULL,NULL,NULL,NULL,NULL,"0","2024-12-15 21:43:37","2024-12-15 21:43:37"
"309","414",NULL,NULL,NULL,NULL,NULL,"0","2024-12-15 21:43:37","2024-12-15 21:43:37"
"310","415",NULL,NULL,NULL,NULL,NULL,"0","2024-12-15 21:43:37","2024-12-15 21:43:37"
"311","416",NULL,NULL,NULL,NULL,NULL,"0","2024-12-15 21:43:37","2024-12-15 21:43:37"
"312","417",NULL,NULL,NULL,NULL,NULL,"0","2024-12-15 21:43:37","2024-12-15 21:43:37"
"313","418",NULL,NULL,NULL,NULL,NULL,"0","2024-12-15 21:43:37","2024-12-15 21:43:37"
"314","419",NULL,NULL,NULL,NULL,NULL,"0","2024-12-15 21:43:37","2024-12-15 21:43:37"
"315","420",NULL,NULL,NULL,NULL,NULL,"0","2024-12-15 21:43:37","2024-12-15 21:43:37"
"316","421",NULL,NULL,NULL,NULL,NULL,"0","2024-12-15 21:43:37","2024-12-15 21:43:37"
"317","422",NULL,NULL,NULL,NULL,NULL,"0","2024-12-15 21:43:37","2024-12-15 21:43:37"
"318","423",NULL,NULL,NULL,NULL,NULL,"0","2024-12-15 21:43:37","2024-12-15 21:43:37"
"319","424",NULL,NULL,NULL,NULL,NULL,"0","2024-12-15 21:43:37","2024-12-15 21:43:37"
"320","425",NULL,NULL,NULL,NULL,NULL,"0","2024-12-15 21:43:37","2024-12-15 21:43:37"
"321","426",NULL,NULL,NULL,NULL,NULL,"0","2024-12-15 21:43:37","2024-12-15 21:43:37"
"322","427",NULL,NULL,NULL,NULL,NULL,"0","2024-12-15 21:43:37","2024-12-15 21:43:37"
"323","428",NULL,NULL,NULL,NULL,NULL,"0","2024-12-15 21:43:37","2024-12-15 21:43:37"
"324","429",NULL,NULL,NULL,NULL,NULL,"0","2024-12-15 21:43:37","2024-12-15 21:43:37"
"325","430",NULL,NULL,NULL,NULL,NULL,"0","2024-12-15 21:43:37","2024-12-15 21:43:37"
"326","431",NULL,NULL,NULL,NULL,NULL,"0","2024-12-15 21:43:37","2024-12-15 21:43:37"
"327","432",NULL,NULL,NULL,NULL,NULL,"0","2024-12-15 21:43:37","2024-12-15 21:43:37"
"328","433",NULL,NULL,NULL,NULL,NULL,"0","2024-12-15 21:56:41","2024-12-15 21:56:41"
"329","434",NULL,NULL,NULL,NULL,NULL,"0","2024-12-15 21:56:41","2024-12-15 21:56:41"
"330","435",NULL,NULL,NULL,NULL,NULL,"0","2024-12-15 21:56:41","2024-12-15 21:56:41"
"331","436",NULL,NULL,NULL,NULL,NULL,"0","2024-12-15 21:56:41","2024-12-15 21:56:41"
"332","437",NULL,NULL,NULL,NULL,NULL,"0","2024-12-15 21:56:41","2024-12-15 21:56:41"
"333","438",NULL,NULL,NULL,NULL,NULL,"0","2024-12-15 21:56:41","2024-12-15 21:56:41"
"334","439",NULL,NULL,NULL,NULL,NULL,"0","2024-12-15 21:56:41","2024-12-15 21:56:41"
"335","440",NULL,NULL,NULL,NULL,NULL,"0","2024-12-15 21:56:41","2024-12-15 21:56:41"
"336","441",NULL,NULL,NULL,NULL,NULL,"0","2024-12-15 21:56:41","2024-12-15 21:56:41"
"337","442",NULL,NULL,NULL,NULL,NULL,"0","2024-12-15 21:56:41","2024-12-15 21:56:41"
