"room_id","room_code","building_id","floor_level","room_type","capacity","status","created_at","updated_at"
"1","A204","1","2nd","Lecture","50","Available","2024-10-24 15:53:31","2024-10-24 15:53:31"
"2","Aboitiz Lab","1","2nd","Laboratory","50","Available","2024-10-24 15:53:54","2024-10-24 15:53:54"
"3","DOST Lab","1","2nd","Laboratory","50","Available","2024-10-24 15:54:28","2024-10-24 15:54:28"
"4","A203","1","2nd","Lecture","50","Available","2024-10-24 15:54:56","2024-10-24 15:54:56"
"5","A202","1","2nd","Lecture","50","Available","2024-10-24 15:55:22","2024-10-24 15:55:22"
"6","A301","1","3rd","Lecture","50","Available","2024-10-24 15:56:28","2024-10-24 15:56:28"
"7","A302","1","3rd","Lecture","50","Available","2024-10-24 15:56:48","2024-10-24 15:56:48"
"8","A303","1","3rd","Lecture","50","Available","2024-10-24 15:57:28","2024-10-24 15:57:28"
"9","A304","1","3rd","Lecture","50","Available","2024-10-24 15:58:16","2024-10-24 15:58:16"
